"label","streamer","streamId","scte35","url","urlPreview","hls","hlsNoAds","client"
"UEFA Champions League DE","streamer.spovizz.com","uefa-cl-de",true,"https://samsung.vigitalsolutions.com/frontend/timeline/0ba816e5-d31a-4fbb-87eb-788336d01b84?format=1920x1080&lng=de&stream=audio&x-duration=63&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/0ba816e5-d31a-4fbb-87eb-788336d01b84?format=1920x1080&lng=de&stream=audio","https://streamer.spovizz.com:10000/hls/uefa-cl-de/ads/master.m3u8","https://streamer.spovizz.com:10000/hls/uefa-cl-de/stream.m3u8","womansworldcup"
"UEFA Champions League EN","streamer.spovizz.com","uefa-cl-en",true,"https://samsung.vigitalsolutions.com/frontend/timeline/0ba816e5-d31a-4fbb-87eb-788336d01b84?format=1920x1080&lng=en&stream=audio&x-duration=63&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/0ba816e5-d31a-4fbb-87eb-788336d01b84?format=1920x1080&lng=en&stream=audio","https://streamer.spovizz.com:10000/hls/uefa-cl-en/ads/master.m3u8","https://streamer.spovizz.com:10000/hls/uefa-cl-en/stream.m3u8","womansworldcup"
"English Premiere League DE","streamer.spovizz.com","epl-de",true,"https://samsung.vigitalsolutions.com/frontend/timeline/c7b74203-8109-4f89-a535-58d34dabc387?format=1920x1080&lng=de&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/c7b74203-8109-4f89-a535-58d34dabc387?format=1920x1080&lng=de&stream=audio","https://streamer.spovizz.com:10000/hls/epl-de/ads/master.m3u8","https://streamer.spovizz.com:10000/hls/epl-de/stream.m3u8","womansworldcup"
"English Premiere League EN","streamer.spovizz.com","epl-en",true,"https://samsung.vigitalsolutions.com/frontend/timeline/c7b74203-8109-4f89-a535-58d34dabc387?format=1920x1080&lng=en&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/c7b74203-8109-4f89-a535-58d34dabc387?format=1920x1080&lng=en&stream=audio","https://streamer.spovizz.com:10000/hls/epl-en/ads/master.m3u8","https://streamer.spovizz.com:10000/hls/epl-en/stream.m3u8","womansworldcup"
"Bundesliga DE","streamer-2.vigitalsolutions.com","bundesliga-de",true,"https://samsung.vigitalsolutions.com/frontend/timeline/90f276ac-7ea4-495d-a5dc-048357cb7103?format=1920x1080&lng=de&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/90f276ac-7ea4-495d-a5dc-048357cb7103?format=1920x1080&lng=de&stream=audio","https://streamer-2.vigitalsolutions.com:10000/hls/bundesliga-de/ads/master.m3u8","https://streamer-2.vigitalsolutions.com:10000/hls/bundesliga-de/stream.m3u8","womansworldcup"
"Bundesliga EN","streamer-4.vigitalsolutions.com","bundesliga-en",true,"https://samsung.vigitalsolutions.com/frontend/timeline/90f276ac-7ea4-495d-a5dc-048357cb7103?format=1920x1080&lng=en&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/90f276ac-7ea4-495d-a5dc-048357cb7103?format=1920x1080&lng=en&stream=audio","https://streamer-4.vigitalsolutions.com:10000/hls/bundesliga-en/ads/master.m3u8","https://streamer-4.vigitalsolutions.com:10000/hls/bundesliga-en/stream.m3u8","womansworldcup"
"UEFA Europa League DE","streamer.spovizz.com","eu-league-de",true,"https://samsung.vigitalsolutions.com/frontend/timeline/de41df2d-433e-438e-af3e-b8ffbaed13cc?format=1920x1080&lng=de&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/de41df2d-433e-438e-af3e-b8ffbaed13cc?format=1920x1080&lng=de&stream=audio","https://streamer.spovizz.com:10000/hls/eu-league-de/ads/master.m3u8","https://streamer.spovizz.com:10000/hls/eu-league-de/stream.m3u8","womansworldcup"
"UEFA Europa League EN","streamer-2.vigitalsolutions.com","eu-league-en",true,"https://samsung.vigitalsolutions.com/frontend/timeline/de41df2d-433e-438e-af3e-b8ffbaed13cc?format=1920x1080&lng=en&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/de41df2d-433e-438e-af3e-b8ffbaed13cc?format=1920x1080&lng=en&stream=audio","https://streamer-2.vigitalsolutions.com:10000/hls/eu-league-en/ads/master.m3u8","https://streamer-2.vigitalsolutions.com:10000/hls/eu-league-en/stream.m3u8","womansworldcup"
"2 Bundesliga DE","streamer-2.vigitalsolutions.com","2-bundesliga-de",true,"https://samsung.vigitalsolutions.com/frontend/timeline/6a9ffaad-c765-492b-8ec3-20ff1b696473?format=1920x1080&lng=de&stream=audio&x-duration=63&&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/6a9ffaad-c765-492b-8ec3-20ff1b696473?format=1920x1080&lng=de&stream=audio","https://streamer-2.vigitalsolutions.com:10000/hls/2-bundesliga-de/ads/master.m3u8","https://streamer-2.vigitalsolutions.com:10000/hls/2-bundesliga-de/stream.m3u8","womansworldcup"
"US MLS EN","streamer-4.vigitalsolutions.com","us-mls-en",true,"https://samsung.vigitalsolutions.com/frontend/timeline/0a1fed60-f847-4cab-a501-2d255016b3b4?format=1920x1080&lng=en&stream=audio&x-duration=63&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/0a1fed60-f847-4cab-a501-2d255016b3b4?format=1920x1080&lng=en&stream=audio","https://streamer-4.vigitalsolutions.com:10000/hls/us-mls-en/ads/master.m3u8","https://streamer-4.vigitalsolutions.com:10000/hls/us-mls-en/stream.m3u8","womansworldcup"
"Turkish Super Lig DE","streamer-2.vigitalsolutions.com","tr-super-lig-de",true,"https://samsung.vigitalsolutions.com/frontend/timeline/eb8d8467-ef6a-4fd3-a6ed-f79a51a808fe?format=1920x1080&lng=de&stream=audio&x-duration=63&x-slides=15","https://samsung.vigitalsolutions.com/frontend/timeline/eb8d8467-ef6a-4fd3-a6ed-f79a51a808fe?format=1920x1080&lng=de&stream=audio","https://streamer-2.vigitalsolutions.com:10000/hls/tr-super-lig-de/ads/master.m3u8","https://streamer-2.vigitalsolutions.com:10000/hls/tr-super-lig-de/stream.m3u8","womansworldcup"
